repeat,dim,bottleneck,ratio,spearman,pvalue,final_loss
0,200,2,0.01,0.03348031430256972,0.0008123515476055716,63.038537693023684
0,160,6,0.0375,0.06432323201549996,1.2090923138497836e-10,51.93561477661133
0,192,12,0.0625,0.09310615857797266,1.061481865178027e-20,58.93025884628296
0,176,16,0.0909,0.08560843409902558,9.86408234270492e-18,55.565301704406735
0,200,24,0.12,0.08326406076072429,7.438513443993316e-17,62.639705657958984
0,192,28,0.1458,0.09185628512506665,3.450498807601334e-20,59.93280687332153
0,160,28,0.175,0.12948542634359905,1.1966683021438923e-38,50.418570804595944
0,160,32,0.2,0.08710400675476601,2.6407239771069437e-18,51.007581615448
0,96,20,0.2083,0.1846182234166459,2.2211992623772655e-77,31.344192934036254
0,128,32,0.25,0.13161325479937663,6.9805626663951946e-40,41.490908813476565
0,112,32,0.2857,0.16776106941252833,4.992214318793226e-64,36.11974906921387
0,64,20,0.3125,0.2180636711486367,6.174329601377559e-108,22.216511535644532
0,56,20,0.3571,0.2334415604344156,7.5269037421126795e-124,18.013305473327637
0,80,32,0.4,0.13795266623952665,1.1089963553418895e-43,27.01687021255493
0,56,24,0.4286,0.2859980604999806,1.5160345837163745e-187,19.170106220245362
0,64,28,0.4375,0.20989875481098752,5.721023905394454e-100,21.630117177963257
0,64,32,0.5,0.263921402339214,5.402152258145459e-159,20.604475593566896
0,56,32,0.5714,0.26442242606822425,1.2999552490644532e-159,20.0668185710907
0,48,28,0.5833,0.24965015605250157,6.2109661044052e-142,16.12130753993988
0,40,24,0.6,0.25263555749435557,2.0574117269666054e-145,11.44251503944397
0,32,20,0.625,0.29263760353037604,1.16905240954831e-196,8.988268899917603
0,48,32,0.6667,0.3252477872764779,4.4154654517533965e-245,14.822992753982543
0,40,28,0.7,0.2596414635404146,9.172574397062964e-154,13.01251516342163
0,28,20,0.7143,0.37561909453219094,0.0,7.9406714081764225
0,32,24,0.75,0.4262148735621487,0.0,7.005479562282562
0,40,32,0.8,0.39014176027341757,0.0,13.559217143058778
0,24,20,0.8333,0.49528299692083,0.0,5.156767392158509
0,28,24,0.8571,0.46886822740468226,0.0,5.551153016090393
0,32,28,0.875,0.33391847874318475,5.160616403042986e-259,7.833154392242432
0,32,32,1.0,0.4192174425521744,0.0,9.73268758058548
1,200,2,0.01,0.04238755711248398,2.2338896300805458e-05,62.92206516265869
1,160,6,0.0375,0.07852629614666375,3.726739797380248e-15,50.85180435180664
1,192,12,0.0625,0.07531119964772325,4.667786257166045e-14,59.954049301147464
1,176,16,0.0909,0.05879214042953745,4.015139552295228e-09,55.249366760253906
1,200,24,0.12,0.08517316864111016,1.441397362940468e-17,62.30954380035401
1,192,28,0.1458,0.09053134309877263,1.1832763625584907e-19,60.44333658218384
